"project_id","project_name","location","project_manager","total_budget","total_actual_spend","budget_variance","variance_pct"
8,"Chicago Data Center Build 1","Seattle, WA","David Kim","32763572.53","49605869.63","16842297.10","51.41"
10,"Seattle Data Center Phase 1","Atlanta, GA","David Kim","65378435.06","70315011.01","4936575.95","7.55"
7,"Dallas Data Center Phase 1","Atlanta, GA","James Holloway","78891614.05","82732168.75","3840554.70","4.87"
2,"Richmond Data Center Build 1","Austin, TX","Chris Patel","12027142.99","10912599.38","-1114543.61","-9.27"
5,"Denver Data Center Phase 1","Seattle, WA","Sandra Osei","50279452.35","48867229.05","-1412223.30","-2.81"
1,"Austin Data Center Expansion","Atlanta, GA","Chris Patel","15465344.64","13348512.98","-2116831.66","-13.69"
4,"Phoenix Data Center Build 1","Seattle, WA","James Holloway","16660962.49","13944367.15","-2716595.34","-16.31"
9,"Richmond Data Center Phase 2","Las Vegas, NV","David Kim","17255187.03","13137907.12","-4117279.91","-23.86"
3,"Las Vegas Data Center Phase 2","Las Vegas, NV","David Kim","21533046.65","16525359.53","-5007687.12","-23.26"
6,"Denver Data Center Phase 2","Las Vegas, NV","David Kim","67205349.82","58572228.21","-8633121.61","-12.85"
